Loan_ID,Borrower_Credit_Score,Debt_to_Income_Ratio,Loan_to_Value_Ratio,Annual_Income,Loan_Amount,Loan_Term_Years,Collateral_Value,Industry_Sector,Credit_History_Length_Years,Past_Due_Payments,Consumer_Confidence_Index,Business_Confidence_Index,Inflation_Rate,GDP_Growth_Rate,Loan_Type,Credit_Rating
1,402,0.3983152661785706,1.1067486445568422,78675.97763980343,414104.4606349612,21,917686.2526656545,Energy,7,6,0.8542311876819655,0.6440608112102462,0.9582771593916101,0.08551139579585076,Corporate,Caa
2,735,0.1434314539930914,0.6837749868471468,124060.37822737388,385719.368019841,10,656265.208166544,Consumer Goods,1,0,0.17055237302488213,0.0700195925801591,0.08704932372957952,0.5225792087538607,Government,Ba
3,570,0.4508568170330476,0.6206351618276984,127256.30610711491,141940.0439839755,20,381989.2336121916,Technology,25,1,0.40111956760052003,0.8706021281640514,0.5507573941893023,0.3889159971657792,Personal,B
4,406,0.12632105631358057,0.5126116533340908,137110.0991379086,106869.7947047875,17,623333.1989300734,Technology,12,0,0.459855768299413,0.80780689653946,0.026186763958282677,0.9129814254850244,Personal,B
5,371,0.1296544474005484,0.5657052618085551,172010.073337333,132948.2710824093,20,366727.73737722635,Consumer Goods,1,8,0.4808761640114467,0.006936193275779989,0.9033847637846174,0.30171003899677096,Corporate,B
6,320,0.25266294951663315,0.6032294234206284,150906.4057869647,77556.81506579039,6,571640.8328532991,Finance,14,9,0.45785561361835747,0.587501218327947,0.5119730800407416,0.6866976676374993,Government,B
7,421,0.5482857624846388,0.5551988936645786,74342.83850542619,196051.15212876906,11,437843.6704786988,Healthcare,24,0,0.09595189234560975,0.6331634561965976,0.9374122208685294,0.6876252656765414,Government,Caa
8,766,0.4206966243616582,1.1278155065995312,97157.49031832007,328680.85371557955,18,158369.7373219053,Technology,6,2,0.903518065283552,0.9061100222282019,0.32466712022332755,0.713188348188383,Personal,B
9,514,0.48506564596445967,1.1380068155592347,172768.81924668228,270803.8586910758,23,782300.1359229573,Finance,1,5,0.781458924132984,0.5348331238029453,0.40521975733575877,0.6809598430603812,Government,B
10,630,0.17077605473855303,1.1561538705925307,137675.05400297086,341211.0927190329,9,501454.8656900999,Energy,23,5,0.43131406860916155,0.051716074262680434,0.7495599908043358,0.8825401420942321,Corporate,B
11,758,0.5170627166236229,1.1719025856029681,58291.068201603,181268.73442591453,12,198241.22764639425,Real Estate,2,8,0.9513060993857559,0.6834226380305465,0.9419400119582516,0.5959580067790342,Corporate,B
12,387,0.10407312409711758,0.8442845035139568,85341.59669365415,106612.50435925815,11,892911.3764415974,Energy,17,8,0.5413941210674574,0.3495007897510366,0.1400437135868704,0.8553884574528877,Government,B
13,672,0.20652867536650307,0.8710172457774652,164485.45511325324,105365.28349719952,26,854686.536514289,Finance,8,3,0.05793945564542646,0.5095602974186366,0.39777524400268716,0.6736086476365745,Personal,Ba
14,399,0.40804616057499676,0.5915813000014867,59256.0009649747,302426.96061982424,18,563237.8884330144,Finance,18,0,0.44315369117324066,0.23928636981606088,0.9705855790082478,0.8812779357960301,Government,Caa
15,430,0.28762320429702515,0.5959364264264406,147478.61096253252,86325.90570075784,23,970615.4901532463,Energy,25,9,0.20639345188664282,0.8604543486784993,0.3258525111259014,0.7287239955892049,Government,B
16,608,0.5920966958592817,1.0409295070592472,125801.21115936742,201597.75029156858,2,927898.5649178728,Healthcare,22,8,0.9981610905986509,0.5880930451428642,0.9369388846899588,0.4577014910748971,Corporate,B
17,643,0.11516962340915912,1.0990103588992186,55070.73408819467,110352.2076741419,16,898035.7795337125,Real Estate,17,1,0.12400061362504755,0.7452026792535733,0.6201571519179829,0.2705681270764799,Personal,B
18,791,0.5992990839682716,1.0493001014417644,147109.4170852592,333066.390440828,9,141958.85809228497,Technology,16,9,0.3062077119040758,0.1504080310642455,0.4807361098794961,0.9090924492895135,Personal,B
19,713,0.411813916430658,1.0842031054964671,54199.32501137885,309633.315195954,16,301683.26897254336,Energy,27,9,0.6782704152025956,0.5650572857360449,0.3319880491223489,0.13211680212315513,Corporate,B
20,685,0.37935349729804824,0.6935992207998098,97734.0484486458,193656.8585548821,12,416088.313156727,Consumer Goods,15,3,0.22336799478090374,0.3015343209164869,0.5091080952380572,0.8695569448378774,Corporate,B
21,491,0.1297562212819872,0.8262460490231149,82455.18716916845,68715.17216958007,17,833590.1789512319,Technology,15,6,0.11223176179108241,0.02554024005841471,0.6537946154441366,0.6522284014604737,Government,B
22,576,0.23666443833294534,0.8214395683767709,147301.69195678277,109849.32315110424,13,872523.4040898171,Healthcare,24,1,0.38591353054152866,0.7285894816402271,0.7106326263678829,0.6102143245381554,Corporate,B
23,460,0.5623313441457979,1.196698382199211,163001.6006231309,238743.48410715495,4,753970.3442742954,Energy,23,8,0.8954584170404466,0.9791303576276853,0.07630620005399891,0.5363247840173535,Government,Caa
24,759,0.2771230015946221,1.1644246140810361,58613.818932505295,486180.800094914,13,477675.2965883667,Technology,12,4,0.5771796895453701,0.7278590945142618,0.6403336617933515,0.2923827405900268,Corporate,B
25,613,0.4308266002336255,0.9189402744982043,168039.4462418201,139033.5069445807,12,170282.13935136286,Healthcare,27,9,0.745714355362453,0.08405248425109946,0.8924230158504721,0.6079204458736102,Personal,B
26,321,0.5997481752093609,0.5965811931984853,31226.38951907483,99639.22666841673,2,44844.23248889283,Healthcare,17,8,0.28501495182322545,0.6299956305244225,0.4268931674451877,0.4764909880245911,Corporate,Ca
27,552,0.2315348569167706,0.681017227041474,120109.95304823061,114238.29203046876,17,702309.3315891967,Technology,24,8,0.8929291846631107,0.8287390166139808,0.2505015830236874,0.3992919345994057,Corporate,B
28,774,0.38804043950724687,0.754633088487215,117854.11127869456,355528.87240313966,15,994212.5348565424,Consumer Goods,18,7,0.560769479247679,0.1613039964799191,0.6992766584888441,0.641261849587072,Corporate,Ba
29,358,0.44821889635110657,1.1112481617854006,136049.64322780934,457768.6618707831,13,352017.3980794416,Consumer Goods,8,2,0.35388803909390787,0.9808793503561583,0.11377672757002855,0.08185379083105448,Corporate,Caa
30,810,0.1823136232827076,0.6194427199443643,70749.09015689474,42209.95384002849,2,573044.583762701,Technology,9,8,0.6551004938650036,0.6236189501083163,0.9327563082695483,0.6049845405426233,Personal,Ba
31,775,0.17433628184809105,0.6538228416396735,31675.661088134242,375897.8280777531,26,812476.0484659248,Real Estate,15,2,0.406948902770374,0.9820591452463469,0.5130330379355099,0.9976110748420747,Corporate,Ba
32,489,0.3281539558290867,0.7445692841688789,107309.6957440379,249830.30643145207,6,194616.78324813754,Finance,13,8,0.2772391480035833,0.6301642897796802,0.6616627087528404,0.042732787607347444,Personal,B
33,543,0.29290626087964466,1.1488371320573685,42139.05591390327,413469.28101714706,21,831261.4393650371,Consumer Goods,29,1,0.7667733432231784,0.6686983925519724,0.35248923535596643,0.47453172964151424,Government,Caa
34,804,0.45710771842865694,0.8526684635434709,181672.9607571676,213645.13477152633,12,629089.6804110183,Healthcare,5,6,0.10774019880757202,0.7595877370149519,0.43010754838200116,0.4536426421745565,Personal,Ba
35,430,0.13475438572429313,0.9527852256182741,59523.27536715948,7582.044580012295,29,574149.8258325356,Consumer Goods,21,1,0.6639075624972128,0.8038169624097078,0.5769726755069127,0.07397642149678385,Corporate,Caa
36,784,0.5860833118703452,0.7710563135491248,102289.60447477229,342984.2064811378,1,764658.8663471964,Energy,23,4,0.5253964788765882,0.8784098383249899,0.987196629055164,0.49309883394718246,Government,Ba
37,320,0.10713849084291618,0.6319654777759267,103780.06634086523,404945.8585862166,15,248539.0563445643,Real Estate,1,1,0.5135663112621216,0.7520785616598767,0.7023658714532052,0.15013773620390336,Corporate,Caa
38,466,0.40065841216807563,0.6559603761859361,123986.99013249482,451500.44160581165,3,618632.5999725112,Technology,21,7,0.34250000258429647,0.4594488845124004,0.9348375438580799,0.8221399106094474,Personal,B
39,573,0.38131629793369415,1.0618698542211154,163030.49929096753,286680.38810204196,28,247972.49094391515,Real Estate,12,1,0.2750175479656536,0.2538554995926481,0.955320662520223,0.9002970692555622,Personal,B
40,687,0.1673578654348629,1.1254374268238867,110265.18558649253,65414.008115357065,10,187740.05397080336,Finance,1,8,0.6902953909605594,0.397136795200315,0.7809282074753674,0.8240617776747321,Corporate,B
41,615,0.1754579913567649,0.8451529591252014,34378.05542748043,188068.1488916501,6,627121.0912965154,Consumer Goods,27,1,0.8108656211304346,0.9198637559143795,0.041164788467735414,0.9281585452664821,Corporate,B
42,313,0.49633874389731336,0.7498961692214796,161088.7698997652,393203.87133495044,5,276588.2905570314,Energy,24,3,0.3862460616124803,0.8630598914497053,0.27032308233471825,0.6472897606370436,Government,Caa
43,541,0.5437812292063415,1.0654845955690835,43969.463485551554,249734.4179462673,22,717235.3814489162,Healthcare,24,6,0.14420791222592044,0.3623056490864033,0.8067769731872232,0.8435821570471799,Personal,Caa
44,645,0.2415084829418848,0.9711663425566495,139064.0596840069,351126.02164934826,8,519340.58502053405,Energy,17,8,0.021495957611159966,0.4232615664613144,0.013659328512585334,0.4992257624967774,Government,B
45,639,0.31898198198128425,0.5286117842399431,166583.01647082221,7321.393262605528,6,698004.2251908211,Healthcare,2,2,0.579750085332357,0.29424308400468835,0.48549039856277953,0.7901847248457705,Personal,Ba
46,391,0.27749752051917675,0.7455186292179674,78057.32932177745,41136.1581700307,11,892702.6626405959,Real Estate,7,1,0.2500259588227992,0.6220370468606816,0.7662583468007982,0.9465553148203646,Corporate,Caa
47,666,0.13627350649332595,0.9775210847652293,106348.10188628531,342175.9911320743,14,146863.5840561509,Energy,23,5,0.4128945508668014,0.3600408518371869,0.930932013840883,0.38068173252776505,Government,B
48,754,0.4366021230079047,0.901575874203684,32437.093171588825,148649.93106496037,21,76071.26140883587,Energy,28,0,0.557276055483253,0.803474740949058,0.44104599794469945,0.8341609382660926,Corporate,B
49,727,0.512596467402845,1.1846471161923557,166658.7839302805,197152.41041540625,27,405917.74558615114,Technology,25,4,0.7235748388206967,0.47604467596016,0.8292278605136528,0.47411268624042224,Corporate,B
50,808,0.2524396786956036,1.1062807647577033,149554.38528653927,322855.79132837354,20,719540.5948511688,Finance,3,7,0.42354237867282296,0.22012240840474084,0.45652764812772206,0.6127817670436573,Government,Ba
